symbol,calendarYear,period,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover
FRT,2023,Q3,-0.4449555719507029,-0.15358339791614214,-0.3486964217003194,-0.33854684697931203,0.4931448486020835,0.5045268293899154,-0.11387672842810656,0.753375066108067,-0.2816009077519951,-0.12079044809587866,-0.5442151352667628,0.7098765168548354,0.6061713626372608,-0.7980896711714714,-0.6972989294903744
CFG,2023,Q3,-1.3505801251279126,-1.1251851236055768,-0.36595382693398537,-0.5521714626308966,0.5892781077037456,-0.9714148331244439,-0.9396213018674207,-0.37253530490910286,0.23401729945698205,-0.009949995999314067,-0.3082229775668597,0.042151309004457946,0.0803829329147573,-1.0073525418667573,-0.6972989294903744
EXR,2023,Q3,-1.4202687983012783,-1.198049551265722,-0.46707214776135936,-0.3411446639028977,0.8384421014730795,0.4799824550886124,-0.41246531583990165,0.929609187080608,0.23260462220864805,-0.030546316365768534,-0.5088075297243408,0.04350911018775457,0.07506822751631238,-0.8586498930307677,-0.6972989294903744
WTW,2023,Q3,-0.2938042492173457,-0.9508528625885123,-0.4411048755615437,-0.42245994355302446,-0.47444305676140186,0.7351601539224131,-0.17865353923961363,-0.0021556750540517307,0.5465024468619811,0.4605098389888743,-0.22024505521061685,-0.10316555773181621,-0.2648104170160379,-0.4515741365967932,-0.6480044421086285
CHD,2023,Q3,0.09643917797782164,-0.17928687413227984,0.060991326339181244,0.23727092840292896,-0.04015980898886188,0.48739688113943513,0.49584810151836634,0.33688880667481325,-0.2509531948827759,-0.44045854158048237,0.26203098425539745,-0.13928909535911568,-0.11137374605021517,0.20949557953525771,0.11345698257169641
SYF,2023,Q3,1.5415363704953167,5.260230567017825,0.0912119935694949,-0.39509728791122295,-0.07327409749789997,-1.3076626472647048,-0.7247872095864533,-1.0323068945740932,1.079336491169428,0.9014663854535798,0.6516307736052197,0.34667544616883506,0.36913553290397333,-0.695066551971412,-0.6972989294903744
HPE,2023,Q3,-0.47626576830663836,-0.48987249699008917,-0.30209201142592157,-0.28085733042829725,-0.44823528327210344,-0.4824887479291898,-0.6400829634901941,-0.8385742325484273,-0.4058679731324827,-0.4342240158054077,0.22007745595521935,-0.08159946090632651,-0.35472654027963124,-0.1051488428955473,0.007736815936234434
VRSK,2023,Q3,-0.15871714847003432,0.0035410374167652242,6.291244603066176,1.1808440096068158,0.9956146997174483,0.8651230048991362,3.100369034593385,1.3214935407551622,-0.04460556645019562,-0.1752395517494225,-0.08682489675460417,2.8876383652115627,1.3206213208161546,0.1230442101208315,0.5628831379299764
NWS,2023,Q3,-0.08862661511456224,0.08428094360713444,-0.584979552850592,-0.5079605052591963,-0.8006484372888256,0.9522649105458737,-0.5777450993348067,-0.6825594228328095,-0.4083488053321114,-0.5980615306930426,0.3149734403297498,-0.23908119042467685,-0.4744039586880856,0.038669622572604104,0.9776534343037036
UAL,2023,Q3,-0.4653871330459253,-0.2715106598615677,1.433944840683079,0.031966054285958785,-0.35621819333359783,-1.737521912491946,-0.4378521336557915,-1.5025050767037602,-0.9285126991060574,0.17040274404250752,-0.619810936074096,1.8377065430483452,1.0120077382209405,0.4261204522629812,1.3868609461803654
PYPL,2023,Q3,-0.0472453338045004,0.18972518507234484,0.19280345429654105,-0.062202842966603084,0.07050081548656127,-0.23086722569777696,0.06107052217503849,-0.12786444437113131,-0.2082226664889483,-0.4465071928133626,0.25720626651360035,-0.20029511704385136,-0.18475798085271578,-0.30861590085260515,0.3817583809415782
KHC,2023,Q3,-0.3374930451745,-0.6688580372531073,-0.6002578903523266,-0.5085212175802302,-0.6492409235744555,0.7121940320592535,-0.7695740285502927,-0.3671359627722217,-0.4279270479056742,-0.6236881337632652,-0.35792016428583595,-0.36106455896004247,-0.4235175810881826,-0.49139410749265294,0.08605259314491942
