,quarter,purchase_date,sell_date,baseline_return,symbol,start_price,end_price,return,strat_edge,confidence
35,2022_Q1,2022-05-15,2024-12-30 00:00:00,0.46636751080882494,PWR,111.61529541015624,318.7585754394531,1.855868223688348,1.389500712879523,0.5942919996669995
36,2022_Q1,2022-05-15,2024-12-30 00:00:00,0.46636751080882494,GE,45.81051254272461,167.78782653808594,2.6626489690898065,2.1962814582809815,0.5941927523972416
37,2022_Q1,2022-05-15,2022-11-15,0.46636751080882494,ORLY,638.8300170898438,825.1199951171875,0.29161118457767193,-0.174756326231153,0.586239914007561
38,2022_Q1,2022-05-15,2023-08-15,0.46636751080882494,ULTA,393.1600036621094,456.2000122070313,0.16034186579950271,-0.3060256450093222,0.5840665005788847
39,2022_Q1,2022-05-15,2022-11-15,0.46636751080882494,AZO,2023.489990234375,2425.60009765625,0.19872107564777217,-0.2676464351610528,0.5789202402602557
40,2022_Q2,2022-08-15,2023-11-15,0.3411724117761295,WST,338.7149658203125,344.9375,0.018371004554279247,-0.32280140722185025,0.6449989170824932
41,2022_Q2,2022-08-15,2023-08-15,0.3411724117761295,INTC,34.57488250732422,34.198036193847656,-0.010899424268375538,-0.35207183604450504,0.6437036510882858
42,2022_Q2,2022-08-15,2024-12-30 00:00:00,0.3411724117761295,PLTR,9.90999984741211,77.18000030517578,6.788092986230521,6.446920574454391,0.6410649244751432
43,2022_Q2,2022-08-15,2023-05-15,0.3411724117761295,EW,104.73999786376952,88.91999816894531,-0.151040672307446,-0.4922130840835755,0.6398842100503047
44,2022_Q2,2022-08-15,2024-05-15,0.3411724117761295,SMCI,6.703000068664551,95.23600006103516,13.207966445688724,12.866794033912594,0.6330398521065634
45,2022_Q2,2022-08-15,2023-08-15,0.3411724117761295,ODFL,154.08241271972656,203.04302978515625,0.3177560384810969,-0.0234163732950326,0.6286764967295368
46,2022_Q2,2022-08-15,2023-08-15,0.3411724117761295,BKR,23.79579734802246,33.86750793457031,0.423255856454201,0.0820834446780715,0.6260678149124339
47,2022_Q2,2022-08-15,2024-02-15,0.3411724117761295,TER,101.67810821533205,102.1524887084961,0.004665512581719301,-0.3365068991944102,0.6248424747241643
48,2022_Q2,2022-08-15,2023-11-15,0.3411724117761295,CDNS,193.08999633789065,265.7900085449219,0.3765084343355237,0.03533602255939422,0.6206911211501552
49,2022_Q2,2022-08-15,2024-12-30 00:00:00,0.3411724117761295,CEG,79.39938354492188,225.8972015380859,1.8450750050254459,1.5039025932493164,0.6144306797360003
50,2022_Q3,2022-11-15,2024-02-15,0.3747768333470355,CMG,30.46940040588379,52.36000061035156,0.718445388253869,0.34366855490683357,0.6998141679124841
51,2022_Q3,2022-11-15,2024-12-30 00:00:00,0.3747768333470355,PLTR,8.34000015258789,77.18000030517578,8.254196509963723,7.8794196766166875,0.6895484278509042
52,2022_Q3,2022-11-15,2023-11-15,0.3747768333470355,WDAY,160.74000549316406,231.5099945068359,0.4402761390765384,0.06549930572950291,0.6673267396626341
53,2022_Q3,2022-11-15,2024-12-30 00:00:00,0.3747768333470355,PANW,81.19000244140625,184.1999969482422,1.2687522035878356,0.8939753702408001,0.6622858404623174
54,2022_Q3,2022-11-15,2024-08-15,0.3747768333470355,ERIE,250.12777709960935,463.07232666015625,0.8513430696493384,0.4765662363023029,0.6500894125796003
55,2022_Q3,2022-11-15,2023-11-15,0.3747768333470355,MSFT,236.91905212402344,366.19189453125,0.5456413962839689,0.17086456293693342,0.6373440493673234
56,2022_Q3,2022-11-15,2024-12-30 00:00:00,0.3747768333470355,ANET,33.162498474121094,111.4499969482422,2.3607237716185363,1.9859469382715007,0.6352441570804626
57,2022_Q3,2022-11-15,2024-05-15,0.3747768333470355,CPRT,31.030000686645508,55.310001373291016,0.7824685836083458,0.4076917502613103,0.6316248583867493
58,2022_Q3,2022-11-15,2023-11-15,0.3747768333470355,GOOG,98.25462341308594,135.73709106445312,0.381482991327359,0.006706157980323535,0.6292523018567343
59,2022_Q3,2022-11-15,2023-11-15,0.3747768333470355,GOOGL,97.97160339355467,133.9794464111328,0.36753346653860125,-0.007243366808434237,0.6292523018567343
60,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,AMAT,117.1759262084961,185.778076171875,0.5854628350990133,0.2855922225487385,0.7332350987908302
61,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,QCOM,126.41416931152344,152.14317321777344,0.20352943065144707,-0.09634118189882773,0.7029617577223424
62,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,LRCX,50.826534271240234,90.354248046875,0.7776983881035774,0.4778277755533026,0.6862042237213274
63,2022_Q4,2023-02-15,2023-08-15,0.2998706125502748,HAL,36.24649429321289,38.07589340209961,0.0504710633278891,-0.24939954922238572,0.6843771354081468
64,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,CRWD,120.5199966430664,331.3800048828125,1.749585248199366,1.449714635649091,0.6587075139795718
65,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,TXT,74.5283203125,86.10626220703125,0.15534956169660757,-0.14452105085366723,0.6356073005990515
66,2022_Q4,2023-02-15,2024-12-30 00:00:00,0.2998706125502748,VST,22.527982711791992,139.84832763671875,5.207760784702524,4.907890172152249,0.6333965268661883
67,2022_Q4,2023-02-15,2024-12-30 00:00:00,0.2998706125502748,NTAP,65.30470275878906,115.22852325439452,0.7644751202682174,0.4646045077179426,0.633288646964652
68,2022_Q4,2023-02-15,2023-08-15,0.2998706125502748,ODFL,176.6230010986328,203.04302978515625,0.14958430398184389,-0.15028630856843092,0.6304281570436814
69,2022_Q4,2023-02-15,2024-02-15,0.2998706125502748,DHI,97.48523712158205,144.0616455078125,0.4777790951889576,0.1779084826386828,0.6267540660713754
70,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,WFC,36.964866638183594,70.06409454345703,0.8954239772931558,0.5664195877645481,0.7531199394780724
71,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,KEY,8.500986099243164,16.903430938720703,0.9884082553935245,0.6594038658649168,0.7389408818251608
72,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,TFC,25.299606323242188,42.88458251953125,0.695069163196193,0.36606477366758533,0.7312302603232911
73,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,CFG,23.69079971313477,43.18168640136719,0.8227196601314469,0.4937152706028392,0.7167096194898862
74,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,C,43.02742767333984,69.90592193603516,0.6246828062033898,0.29567841667478206,0.7060203296930153
75,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,FITB,22.28363800048828,41.94625473022461,0.8823791128407973,0.5533747233121895,0.7049995577840321
76,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,BAC,26.15418815612793,43.63463592529297,0.6683613218967138,0.3393569323681061,0.6990276788695582
77,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,COF,86.44978332519531,177.4019012451172,1.0520803456243526,0.7230759560957449,0.6983239951135979
78,2023_Q1,2023-05-15,2024-12-30 00:00:00,0.3290043895286077,BK,38.58000183105469,76.68755340576172,0.9877540115623489,0.6587496220337412,0.6935834913997454
79,2023_Q1,2023-05-15,2024-05-15,0.3290043895286077,APH,37.18562698364258,65.38999938964844,0.7584751070195094,0.42947071749090165,0.6890790039683606
80,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,CFG,26.350542068481445,43.18168640136719,0.638739965543931,0.3852099553292665,0.6596866759564057
81,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,TFC,27.321502685546875,42.88458251953125,0.5696275206054926,0.3160975103908281,0.6180807227103737
82,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,TPL,601.0619506835938,1106.189208984375,0.8403913402375496,0.5868613300228851,0.6044371724661204
83,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,BAC,28.54629135131836,43.63463592529297,0.5285570860425546,0.2750270758278901,0.602981183484284
84,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,VST,29.5349178314209,139.84832763671875,3.7350166482582954,3.4814866380436307,0.5899247055303881
85,2023_Q2,2023-08-15,2024-08-15,0.2535300102146645,HCA,264.8715515136719,369.6475524902344,0.39557287439060546,0.14204286417594097,0.5823721283173521
86,2023_Q2,2023-08-15,2024-12-30 00:00:00,0.2535300102146645,BSX,51.68000030517578,89.68000030517578,0.7352941133050706,0.48176410309040607,0.5818774821472228
87,2023_Q2,2023-08-15,2024-02-15,0.2535300102146645,DHI,125.13922882080078,144.0616455078125,0.15121091016238078,-0.1023191000522837,0.5807092254776671
88,2023_Q2,2023-08-15,2024-05-15,0.2535300102146645,ZBRA,267.9800109863281,323.8699951171875,0.20856027255596607,-0.04496973765869841,0.5754275235255131
