Date,Close,High,Low,Open,Volume
2021-09-20,412.6925048828125,415.08855261540714,407.7672521297652,413.491187460344,166445500
2021-09-21,412.3026428222656,416.3721370641529,411.7701878012054,415.0600053991751,92526100
2021-09-22,416.3245544433594,418.38783929162486,412.416712033681,414.60357866951676,102350100
2021-09-23,421.3829650878906,423.0088826408305,417.9790538515372,418.2167580417375,76396000
2021-09-24,422.0770568847656,422.79968688281105,419.50984011448503,419.72853840774184,62094800
2021-09-27,420.8695373535156,422.2101634274847,420.1659132318829,421.0311599506328,61371100
2021-09-28,412.38824462890625,418.397413491631,411.64660871979066,418.06462182366096,130436300
2021-09-29,413.08233642578125,415.54494825344585,412.51184058933075,413.7859315146501,82329200
2021-09-30,408.0335388183594,415.2882466877489,407.6912296789132,414.5751340819144,140506000
2021-10-01,412.88262939453125,414.5845993910466,406.21742414161906,409.78298672233353,129240100
2021-10-04,407.55810546875,412.616428523891,405.3902154237439,411.70365256894723,128570000
2021-10-05,411.79876708984375,414.0712041819295,408.2712448418993,409.07941591881655,90682500
2021-10-06,413.51019287109375,413.71937371377385,406.5121956189314,408.15709000231993,113032200
2021-10-07,417.08526611328125,419.9567221633221,416.64789854648825,416.8285560447204,72437500
2021-10-08,416.3245544433594,418.25474005246423,415.6875235524651,417.8649017533313,74557400
2021-10-11,413.31048583984375,418.6065414665536,413.2439217113322,415.65900409151766,65233300
2021-10-12,412.2931213378906,414.65115713425456,411.49443881411145,414.2423129286215,71181200
2021-10-13,413.7763671875,414.6035729991626,410.31540980058895,413.32948221817855,72974000
2021-10-14,420.73638916015625,420.88852331393775,417.00917493406746,417.484583283401,70236800
2021-10-15,423.9406433105469,424.311475756708,422.24819072156123,422.87573323432537,66260200
2021-10-18,425.1956787109375,425.53795875979364,421.46846486254674,422.1340480908158,62213200
2021-10-19,428.4760437011719,428.54257881630946,426.2225837898345,426.84063784671616,46996800
2021-10-20,430.15899658203125,430.4632648969902,428.82785897486536,428.9419523388191,49571600
2021-10-21,431.2809753417969,431.5091620813401,429.1131142662613,429.55048185592744,41305400
2021-10-22,430.83404541015625,432.3078286604849,428.865847936789,430.84356286218724,58845100
2021-10-25,433.14453125,433.4773228946149,430.1399760461206,431.9370045004448,45214500
2021-10-26,433.534423828125,435.9399891926826,433.15410290809484,434.71345640183245,56075100
2021-10-27,431.61376953125,434.6754007100142,431.5376879398753,434.00032892384615,72438000
2021-10-28,435.7784118652344,435.85446445049234,433.0495719842728,433.05906042203674,51437900
2021-10-29,436.66259765625,436.95734853094274,433.1540814854882,433.4488323601809,70162400
2021-11-01,437.41375732421875,438.0412998777548,435.66425794009956,437.6609499544298,48433600
2021-11-02,439.1822509765625,439.49603675334,437.45175752775043,437.58488580071645,48908400
2021-11-03,441.8635559082031,442.2724001417978,438.1648648671922,438.61174989498437,52509800
2021-11-04,443.94586181640625,444.0314318437602,442.12028084964794,442.472078412089,52847100
2021-11-05,445.48614501953125,447.50187177059667,443.9553440683133,446.19925754089627,66390600
2021-11-08,445.8664855957031,447.10256476399456,445.17240794821066,446.59863305396107,50405200
2021-11-09,444.3927307128906,446.47502168605376,442.9665056088953,446.23731750205457,51149100
2021-11-10,440.81768798828125,444.39276850498163,439.31541018496387,442.68128082466427,69429700
2021-11-11,440.96026611328125,442.40552611905025,440.9412602245931,442.3294445310498,34848500
2021-11-12,444.2880859375,444.8490642794322,441.28350183921975,442.24383594176913,53466700
2021-11-15,444.44024658203125,445.75237828092077,443.29928394310963,445.5907556899695,46980500
2021-11-16,446.19921875,447.34969872646275,444.0979221610444,444.1739747227309,48857500
2021-11-17,445.1153564453125,446.11370240187745,444.48781392358285,445.9330449024421,47858300
2021-11-18,446.6271667480469,446.89339427995975,443.40388400635703,446.1612468047309,50625600
2021-11-19,445.8285217285156,447.7776846425223,445.45768923319,446.513081996882,57315600
2021-11-22,444.57342529296875,450.24980284096404,444.3642444329381,447.7301440837491,72762000
2021-11-23,445.1629638671875,446.0282107226141,441.60691796939614,444.2406703194584,73206500
2021-11-24,446.3514099121094,446.47502073018416,442.310438792774,443.13764470866045,61858800
2021-11-26,436.3963928222656,441.083912735613,435.2554010426323,439.6006408320655,112669600
2021-11-29,441.7494812011719,443.6130739628271,439.0206416888775,441.24554946911013,86268800
2021-11-30,433.1540222167969,441.20744024425846,432.90680060734985,439.2772836434596,148559600
2021-12-01,428.34295654296875,441.8160429933335,428.14329314515095,438.93506932974725,131939200
2021-12-02,434.9035949707031,436.4914717810718,428.1623073956631,428.5616632157224,127637800
2021-12-03,431.1193542480469,437.6609492763742,426.8406787668963,436.58655069618374,137331600
2021-12-06,436.2252197265625,438.1268532041968,431.2524377365643,433.6960437193141,98977500
2021-12-07,445.2483825683594,445.81887831410523,436.09201434982583,441.5687270823959,95484700
